"ticker","market","price","above_cloud","bull_cloud","MA50_diff","RS_1m","RS_3m","Momentum","TrendLabel","updated_at"
"HSIC","US",80.5800018310547,TRUE,TRUE,3.24945064820936,6.76376067914681,9.72853378330143,49.238578680203,"Monitor","2026-03-05"
"LRCX","US",222.990005493164,TRUE,TRUE,2.45997919027731,-6.30406714352567,36.5057635827691,48.8578680203046,"Monitor","2026-03-05"
"TRV","US",312.029998779297,TRUE,TRUE,7.28638257230623,8.84020490604218,7.14957568290515,48.4771573604061,"Monitor","2026-03-05"
"PINT","UK",118,TRUE,TRUE,4.6284802269906,3.44861760711694,13.1113011760242,47.9695431472081,"Monitor","2026-03-05"
"BG","US",115.01000213623,TRUE,TRUE,5.27269854127775,0.899607581998563,17.6305469691719,47.9695431472081,"Monitor","2026-03-05"
"XEL","US",83.0400009155273,TRUE,TRUE,7.65987634354701,10.8523305057202,4.06764618245425,47.8426395939086,"Monitor","2026-03-05"
"NEE","US",92.5999984741211,TRUE,TRUE,7.07950285946447,7.01119417165819,8.9763998569075,47.7157360406091,"Monitor","2026-03-05"
"LMP","UK",210.199996948242,TRUE,TRUE,4.472121121826,4.9742077376461,10.6312428864855,47.3350253807107,"Monitor","2026-03-05"
"PPG","US",117.699996948242,TRUE,TRUE,2.03462175104994,1.05911297902859,16.4369777153421,47.2081218274112,"Monitor","2026-03-05"
"WBD","US",27.9500007629395,TRUE,TRUE,-1.30858558173745,1.5504197198692,15.7794751388451,47.0812182741117,"Monitor","2026-03-05"
"SPX","UK",7545,TRUE,TRUE,2.73552920031045,3.50676525726428,12.7773128731469,46.9543147208122,"Monitor","2026-03-05"
"INVP","UK",621.5,TRUE,TRUE,3.25292397660819,1.05136431442485,16.3987045600544,46.8274111675127,"Monitor","2026-03-05"
"ABNB","US",135.539993286133,TRUE,TRUE,3.41299031596537,3.17058288955305,13.1825317557012,46.7005076142132,"Monitor","2026-03-05"
"CEG","US",322.850006103516,TRUE,TRUE,3.35023336430485,17.5511901567023,-10.62737825806,46.7005076142132,"Monitor","2026-03-05"
"LUV","US",47.1500015258789,TRUE,TRUE,1.50525230915252,-5.14629065991565,30.4579082256443,46.7005076142132,"Monitor","2026-03-05"
"WMT","US",127.809997558594,TRUE,TRUE,5.75850349292581,2.97794671760485,13.6251164980402,46.7005076142132,"Monitor","2026-03-05"
"SPG","US",203.100006103516,TRUE,TRUE,6.16677076576487,6.02738945970511,9.25862062957519,46.7005076142132,"Monitor","2026-03-05"
"PCAR","US",124.919998168945,TRUE,TRUE,3.06743467827503,0.248465290418842,18.3571110026263,46.5736040609137,"Monitor","2026-03-05"
"ASML","US",1399.36999511719,TRUE,TRUE,5.28900076399569,-2.95858040958601,25.1690183612334,46.5736040609137,"Monitor","2026-03-05"
"DRI","US",203.410003662109,TRUE,TRUE,-0.541273566158408,1.24164231779575,15.6513238420452,46.4467005076142,"Monitor","2026-03-05"
"MAR","US",335.940002441406,TRUE,TRUE,2.30214884843601,5.08327723729227,10.1748674429838,46.4467005076142,"Monitor","2026-03-05"
"GD","US",366.119995117188,TRUE,TRUE,3.56567665267465,5.54535814200214,9.66822277901045,46.3197969543147,"Monitor","2026-03-05"
"ATYM","UK",966,TRUE,TRUE,1.99556541019955,-6.22066118025923,28.6992179357843,46.1928934010152,"Monitor","2026-03-05"
"ASHM","UK",224.199996948242,TRUE,TRUE,0.951882241432032,-7.39167863533101,31.6337351953609,46.1928934010152,"Monitor","2026-03-05"
"SRE","US",95.3899993896484,TRUE,TRUE,6.17315756658342,10.1071561281638,4.16347724771553,46.0659898477157,"Monitor","2026-03-05"
"PLD","US",139.419998168945,TRUE,TRUE,4.56275044620383,7.24211259766321,7.82213823098523,45.8121827411168,"Monitor","2026-03-05"
"STX","US",375.010009765625,TRUE,TRUE,3.62163357283425,-14.3669557766324,32.8160434926686,45.8121827411168,"Monitor","2026-03-05"
"PPL","US",38.5900001525879,TRUE,TRUE,6.54569999364146,7.44867913907434,7.5045307408109,45.6852791878173,"Monitor","2026-03-05"
"SNA","US",383.5,TRUE,TRUE,3.91956983756542,3.17369518690809,12.4904155068457,44.9238578680203,"Monitor","2026-03-05"
"ULTA","US",661.340026855469,TRUE,TRUE,0.20931988093543,-0.63757070015491,18.8649956864865,44.9238578680203,"Monitor","2026-03-05"
"ATR","UK",618,TRUE,TRUE,4.13858182798597,4.29818225736849,10.212949507638,44.6065989847716,"Monitor","2026-03-05"
"SN","UK",1336,TRUE,TRUE,5.31709432028695,6.65365238002442,7.94191496312573,44.5431472081218,"Monitor","2026-03-05"
"SRP","UK",303.600006103516,TRUE,TRUE,2.98088454651136,0.793652917155097,15.5029434609753,44.5431472081218,"Monitor","2026-03-05"
"EQT","US",61.310001373291,TRUE,TRUE,10.1220326959513,11.3165615477122,1.29690876897355,44.5431472081218,"Monitor","2026-03-05"
"PEP","US",163.919998168945,TRUE,TRUE,6.40687103060652,5.46639046744977,9.20152492755069,44.5431472081218,"Monitor","2026-03-05"
"SMIN","UK",2674,TRUE,TRUE,4.61658841940532,4.74821195094171,9.56842213272946,44.4162436548223,"Monitor","2026-03-05"
"VOD","UK",111.5,TRUE,TRUE,4.19976414257992,0.0897249709693071,17.1368284312329,44.2893401015228,"Monitor","2026-03-05"
"MAB","UK",291,TRUE,TRUE,5.22509491954438,9.92698991900758,2.96447165849969,44.1624365482233,"Monitor","2026-03-05"
"IEM","UK",433,TRUE,TRUE,3.61330461832975,5.94705535983282,8.30302297722199,44.0355329949239,"Monitor","2026-03-05"
"TJX","US",161.729995727539,TRUE,TRUE,4.16813963563837,7.41602782154649,6.77878258237223,43.7817258883249,"Monitor","2026-03-05"
"BA","US",227.309997558594,TRUE,TRUE,-2.91996150437434,-2.48095912559974,19.8097938995408,43.5279187817259,"Monitor","2026-03-05"
"TSCO","UK",476.200012207031,TRUE,TRUE,5.81093817649618,8.95728249047485,4.15923280681376,43.4010152284264,"Monitor","2026-03-05"
"WEC","US",117.550003051758,TRUE,TRUE,6.63563272547984,6.78390728281215,7.24015409734458,43.4010152284264,"Monitor","2026-03-05"
"MGM","US",36.6800003051758,TRUE,TRUE,3.20300793262463,9.09847187836554,3.43905687210815,42.51269035533,"Monitor","2026-03-05"
"BAB","UK",1400,TRUE,TRUE,0.473661547294381,-4.74286935711108,22.761783170913,42.258883248731,"Monitor","2026-03-05"
